loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
33822,TOI-1181 b,TOI-1181,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SAUNDERS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S/abstract target=ref>Saunders et al. 2024</a>,2.103189,0.000003,-0.000005,0,,,,,17.026,0.661,-0.661,0,1.519,0.059,-0.059,0,374.71969,7.31005,-7.31005,0,1.179,0.023,-0.023,0,Mass,0.011,0.007,-0.008,0,,,,,,,,,0,<a refstr=SAUNDERS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S/abstract target=ref>Saunders et al. 2024</a>,,6054,81,-81,0,1.96,0.03,-0.03,0,1.47,0.02,-0.02,0,0.38,0.06,-0.06,0,[Fe/H],4.02,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m51.80s,297.2158166,+64d21m15.66s,64.3543506,302.819,3.542,-3.462,10.582,0.006,-0.006,9.22,0.015,-0.015,10.4776,0.000341,-0.000341,8/16/2024,2024-08,8/16/2024
33823,TOI-1184 b,TOI-1184,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,5.748432,0.0000039,-0.0000039,0,0.056,0.001,-0.001,0,2.41,0.102,-0.144,0,0.215,0.009,-0.013,0,6.8,2.3,-2.3,0,0.0214,0.00724,-0.00724,0,Mass,0,,,0,,,,,715,14,-14,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,4617,47,-48,0,0.7,0.02,-0.02,0,0.73,0.02,-0.03,0,0.017,0.085,-0.094,0,[Fe/H],4.61,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h08m49.08s,272.2045196,+60d40m43.62s,60.6787845,58.5946,0.078,-0.0778,10.988,0.015,-0.015,8.317,0.019,-0.019,10.622,0.000414,-0.000414,7/23/2024,2024-06,7/23/2024
33825,TOI-1194 b,TOI-1194,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,2.3106446,0.00000054,-0.00000054,0,0.034,0.0006,-0.0006,0,8.717,0.155,-0.149,0,0.778,0.014,-0.013,0,120,5.6,-5.7,0,0.37756,0.01762,-0.01793,0,Mass,0,,,0,,,,,1264,19,-19,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5394,65,-63,0,0.96,0.02,-0.01,0,0.98,0.03,-0.03,0,0.348,0.056,-0.058,0,[Fe/H],4.46,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h11m17.16s,167.8214811,+69d57m53.19s,69.9647749,149.667,0.655,-0.649,11.302,0.01,-0.01,9.34,0.015,-0.015,10.9887,0.000409,-0.000409,7/22/2024,2024-06,7/22/2024
33829,TOI-1199 b,TOI-1199,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,3.671463,0.000003,-0.000003,0,0.04988,0.00091,-0.00091,0,10.514,0.28,-0.28,0,0.938,0.025,-0.025,0,75.96099,6.35657,-6.35657,0,0.239,0.02,-0.02,0,Mass,0.03,0.029,-0.029,0,,,,,1486,20,-20,0,0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,,5710,40,-40,0,1.45,0.03,-0.03,0,1.23,0.07,-0.07,0,0.44,0.04,-0.04,0,[Fe/H],4.19,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m31.36s,166.8806581,+61d21m09.26s,61.3525723,248.427,1.792,-1.767,11.093,0.007,-0.007,9.466,0.015,-0.015,10.8853,0.000391,-0.000391,3/5/2024,2024-02,3/5/2024
33830,TOI-1201 b,TOI-1201,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>,2.4919863,0.000003,-0.0000031,0,0.0287,0.0012,-0.0012,0,2.415,0.091,-0.09,0,0.215,0.008,-0.008,0,6.28,0.84,-0.88,0,0.01976,0.00264,-0.00277,0,Mass,0,,,0,40.6,3.6,-3.2,0,703,15,-14,0,0,<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>,M2.0 V,3476,51,-51,0,0.51,0.02,-0.02,0,0.51,0.02,-0.02,0,0.05,0.16,-0.16,0,[Fe/H],4.8,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h48m59.45s,42.2476999,-14d32m14.22s,-14.5372835,37.8871,0.0516,-0.0516,12.26,0.2,-0.2,8.646,0.029,-0.029,12.0966,0.000609,-0.000609,9/27/2021,2021-12,9/27/2021
33835,TOI-122 b,TOI-122,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>,5.07803,0.000015,-0.000015,0,0.0392,0.0007,-0.0007,0,2.72,0.18,-0.18,0,0.243,0.016,-0.016,0,,,,,,,,,,0,,,0,8.8,1,-1,0,471,,,0,0,<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>,M3 V,3403,100,-100,0,0.33,0.01,-0.01,0,0.31,0.01,-0.01,0,,,,,,4.88,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h11m47.58s,332.9482355,-58d56m45.91s,-58.946085,62.118,0.2165,-0.2151,15.526,0.026,-0.026,10.771,0.021,-0.021,14.3357,0.000442,-0.000442,12/10/2020,2021-01,12/17/2020
33836,TOI-1221 b,TOI-1221,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,91.68278,0.00032,-0.00041,0,0.387,0.026,-0.023,0,2.91,0.13,-0.12,0,0.26,0.012,-0.011,0,1112.39942,,,1,3.5,,,1,Mass,0.21,,,1,6.06,0.85,-0.77,0,440,60,-60,0,1,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,,5592,50,-50,0,1.03,0.02,-0.02,0,0.93,0.22,-0.22,0,0.06,0.08,-0.08,0,[Fe/H],4.38,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m41.05s,107.9210254,-65d30m31.88s,-65.5088568,138.411,0.387,-0.386,10.494,0.006,-0.006,9.036,0.021,-0.021,10.5262,0.000245,-0.000245,5/16/2023,2023-05,5/16/2023
33839,TOI-1224 b,TOI-1224,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,4.1782745,0.0000022,-0.0000021,0,0.0355,0.0017,-0.0034,0,2.104,0.094,-0.091,0,0.188,0.008,-0.008,0,,,,,,,,,,,,,,,,,,541,26,-14,0,0,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,,3326,66,-66,0,0.4,0.01,-0.01,0,0.4,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h28m47.48s,37.1978356,-80d53m56.78s,-80.8991053,37.3312,0.0601,-0.0599,13.95,0.022,-0.022,9.134,0.019,-0.019,12.7824,0.001348,-0.001348,7/12/2024,2024-07,7/12/2024
33840,TOI-1224 c,TOI-1224,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,17.945466,0.000012,-0.000012,0,,,,,2.884,0.098,-0.098,0,0.257,0.009,-0.009,0,,,,,,,,,,0,,,0,,,,,,,,,1,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,,3326,66,-66,0,0.4,0.01,-0.01,0,0.4,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h28m47.48s,37.1978356,-80d53m56.78s,-80.8991053,37.3312,0.0601,-0.0599,13.95,0.022,-0.022,9.134,0.019,-0.019,12.7824,0.001348,-0.001348,7/12/2024,2024-07,7/12/2024
33843,TOI-1227 b,TOI-1227,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,27.36397,0.00011,-0.00011,0,0.0886,0.0054,-0.0057,0,9.572,0.751,-0.583,0,0.854,0.067,-0.052,0,,,,,,,,,,,,,,3.21,0.38,-0.36,0,,,,,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,M4.5V-M5V,3072,74,-74,0,0.56,0.03,-0.03,0,0.17,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h27m04.17s,186.7673635,-72d27m06.66s,-72.4518501,100.641,0.573,-0.566,16.999,1.133,-1.133,11.034,0.021,-0.021,15.2514,0.000848,-0.000848,3/28/2022,2022-04,3/28/2022
33844,TOI-1231 b,TOI-1231,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,24.245586,0.000064,-0.000066,0,0.1288,0.0021,-0.0022,0,3.65,0.16,-0.15,0,0.326,0.014,-0.013,0,15.4,3.3,-3.3,0,0.04845,0.01038,-0.01038,0,Mass,0.087,0.12,-0.061,0,1.93,0.1,-0.1,0,330,4,-4,0,0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,M3 V,3553,51,-52,0,0.48,0.01,-0.01,0,0.48,0.02,-0.02,0,0.041,0.069,-0.063,0,[Fe/H],4.77,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h26m59.34s,156.74726,-52d28m04.34s,-52.4678724,27.6227,0.0609,-0.0609,12.36,0.2,-0.2,8.069,0.026,-0.026,11.36,0.000922,-0.000922,11/9/2021,2021-09,11/9/2021
33846,TOI-1235 b,TOI-1235,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,3.444714,0.00009,-0.00009,0,,,,,1.69,0.08,-0.08,0,0.151,0.007,-0.007,0,6.69,0.67,-0.69,0,0.02105,0.00211,-0.00217,0,Mass,0.049,0.072,-0.035,0,,,,,,,,,0,<a refstr=BLUHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.132B/abstract target=ref>Bluhm et al. 2020</a>,M0.5 V,3997,51,-51,0,0.62,0.02,-0.02,0,0.63,0.02,-0.02,0,0.33,0.16,-0.16,0,[Fe/H],4.64,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h08m52.38s,152.2182549,+69d16m35.83s,69.2766204,39.6345,0.0478,-0.0478,11.495,0.056,-0.056,7.893,0.023,-0.023,10.8492,0.000519,-0.000519,7/10/2023,2022-09,7/10/2023
33851,TOI-1244 b,TOI-1244,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,6.4003,0.000013,-0.000013,0,0.061,0.001,-0.001,0,2.376,0.132,-0.106,0,0.212,0.012,-0.009,0,6.6,3.8,-3.7,0,0.02077,0.01196,-0.01164,0,Mass,0,,,0,,,,,715,15,-14,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,4722,55,-55,0,0.72,0.02,-0.02,0,0.75,0.02,-0.03,0,0.034,0.086,-0.087,0,[Fe/H],4.59,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h05m07.09s,256.279559,+69d31m08.73s,69.519093,102.551,0.24,-0.24,11.929,0.08,-0.08,9.422,0.02,-0.02,11.6765,0.000246,-0.000246,7/23/2024,2024-06,7/23/2024
33853,TOI-1246 b,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,4.30744,0.00002,-0.00002,0,0.049,0.002,-0.002,0,3.01,0.06,-0.06,0,0.269,0.005,-0.005,0,8.1,1.1,-1.1,0,0.02549,0.00346,-0.00346,0,Mass,,,,,196,,,0,955,,,0,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151,100,-100,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,0.17,0.06,-0.06,0,[Fe/H],4.4,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.422,0.673,-0.669,11.632,0.024,-0.024,9.907,0.036,-0.036,11.7291,0.000159,-0.000159,5/3/2022,2022-04,5/3/2022
33857,TOI-1246 c,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,5.904137,0.000014,-0.000014,0,0.061,0.001,-0.001,0,2.451,0.138,-0.088,0,0.219,0.012,-0.008,0,9.1,1.3,-1.2,0,0.02863,0.00409,-0.00378,0,Mass,0,,,0,,,,,862,16,-15,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5213,71,-67,0,0.86,0.02,-0.02,0,0.89,0.03,-0.03,0,0.168,0.057,-0.058,0,[Fe/H],4.51,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.422,0.673,-0.669,11.632,0.024,-0.024,9.907,0.036,-0.036,11.7291,0.000159,-0.000159,7/22/2024,2024-06,7/22/2024
33858,TOI-1246 d,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,18.654874,0.000055,-0.000055,0,0.132,0.003,-0.003,0,3.431,0.15,-0.116,0,0.306,0.013,-0.01,0,5.4,1.9,-1.9,0,0.01699,0.00598,-0.00598,0,Mass,0,,,0,,,,,588,11,-10,0,1,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5213,71,-67,0,0.86,0.02,-0.02,0,0.89,0.03,-0.03,0,0.168,0.057,-0.058,0,[Fe/H],4.51,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.422,0.673,-0.669,11.632,0.024,-0.024,9.907,0.036,-0.036,11.7291,0.000159,-0.000159,7/22/2024,2024-06,7/22/2024
33863,TOI-1246 e,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,37.92548,0.00016,-0.00016,0,0.212,0.004,-0.004,0,3.514,0.269,-0.182,0,0.314,0.024,-0.016,0,14.5,2.3,-2.3,0,0.04562,0.00724,-0.00724,0,Mass,0,,,0,,,,,464,8,-8,0,1,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5213,71,-67,0,0.86,0.02,-0.02,0,0.89,0.03,-0.03,0,0.168,0.057,-0.058,0,[Fe/H],4.51,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.422,0.673,-0.669,11.632,0.024,-0.024,9.907,0.036,-0.036,11.7291,0.000159,-0.000159,7/22/2024,2024-06,7/22/2024
33864,TOI-1248 b,TOI-1248,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,4.3601561,0.0000011,-0.0000011,0,0.051,0.001,-0.001,0,6.808,0.117,-0.12,0,0.607,0.01,-0.011,0,27.4,3.6,-3.5,0,0.08621,0.01133,-0.01101,0,Mass,0,,,0,,,,,952,14,-14,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5205,56,-62,0,0.87,0.01,-0.01,0,0.9,0.03,-0.03,0,0.223,0.057,-0.056,0,[Fe/H],4.51,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h16m05.66s,259.0235918,+63d06m20.19s,63.1056072,168.735,0.602,-0.597,11.806,0.046,-0.046,9.87,0.016,-0.016,11.6512,0.000221,-0.000221,7/23/2024,2024-06,7/23/2024
33866,TOI-1249 b,TOI-1249,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,13.079151,0.000054,-0.000054,0,0.109,0.002,-0.002,0,3.271,0.307,-0.187,0,0.292,0.027,-0.017,0,11.9,5.2,-5.1,0,0.03744,0.01636,-0.01605,0,Mass,0,,,0,,,,,727,12,-11,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5497,69,-67,0,0.98,0.02,-0.02,0,1.01,0.03,-0.03,0,0.297,0.057,-0.059,0,[Fe/H],4.46,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h22m14.78s,200.5615762,+66d18m30.72s,66.3085331,139.49,0.537,-0.533,11.089,0.009,-0.009,9.126,0.022,-0.022,10.6987,0.000243,-0.000243,7/22/2024,2024-06,7/22/2024
33868,TOI-125 b,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,4.65382,0.00033,-0.00031,0,0.05186,0.00086,-0.00077,0,2.726,0.075,-0.075,0,0.243,0.007,-0.007,0,9.5,0.88,-0.88,0,0.02989,0.00277,-0.00277,0,Mass,0.194,0.041,-0.036,0,185,9,-9,0,1037,11,-11,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320,39,-39,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.02,0.03,-0.03,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411,2/6/2020,2020-03,2/13/2020
33874,TOI-125 c,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,9.15059,0.0007,-0.00082,0,0.0814,0.0013,-0.0013,0,2.759,0.1,-0.1,0,0.246,0.009,-0.009,0,6.63,0.99,-0.99,0,0.02086,0.00311,-0.00311,0,Mass,0.066,0.07,-0.047,0,77.59,3.31,-3.31,0,828,9,-9,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320,39,-39,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.02,0.03,-0.03,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411,2/6/2020,2020-03,2/13/2020
33877,TOI-125 d,TOI-125,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,19.98,0.005,-0.0056,0,0.137,0.0022,-0.0022,0,2.93,0.17,-0.17,0,0.261,0.015,-0.015,0,13.6,1.2,-1.2,0,0.04279,0.00378,-0.00378,0,Mass,0.168,0.088,-0.062,0,26.7,1.4,-1.4,0,638,7,-7,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320,39,-39,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.02,0.03,-0.03,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411,2/6/2020,2020-03,2/13/2020
